"Type.of.vehicle" "Single.Journey" "Return.Journey" "Monthly.Pass" "Local.Commercial.Vehicle" "tollbooth" "route" "concession" "Effective.Date" "Revision.Due.Date" "location" "Stretch" "Min.Road.Length" "Max.Road.Length" "funding.Model" "Capital.cost" "Commercial.Operation.Date" "Cumulative.Revenue" "Cumulative.Date" "Fee.Notification.Date" "Fee.Notification.No" "Design.Capacity" "Incharge" "Contractor" "Target.Traffic" "Target.Date" "Actual.Traffic" "Actual.Date" "Cumulative.Revenue.Discounted"
"12" "4 to 6 Axle" 360 540 11970 180 " Bankapur ( Public Funded ) " 1 "Monthly Pass for Local non-commercial vehicles: Traffic  Rs.230/-" 2015-04-01 2016-03-31 " Bankapur ( Public Funded )  Km 352.550 - NH-4 in Karnataka  " " Gabbur - Devgiri  " 64 "s) " "( Public Funded ) " 3176900000 2008-03-03 884500000 2015-02-28 2012-07-16 "Sr No. - SO-1592" NA "Shri Rajesh / 9901793636" "MEP Infrastructure Developers Ltd." NA 2014-01-01 NA 2014-01-01 TRUE
"13" "HCM/EME" 360 540 11970 180 " Bankapur ( Public Funded ) " 1 "Monthly Pass for Local non-commercial vehicles: Traffic  Rs.230/-" 2015-04-01 2016-03-31 " Bankapur ( Public Funded )  Km 352.550 - NH-4 in Karnataka  " " Gabbur - Devgiri  " 64 "s) " "( Public Funded ) " 3176900000 2008-03-03 884500000 2015-02-28 2012-07-16 "Sr No. - SO-1592" NA "Shri Rajesh / 9901793636" "MEP Infrastructure Developers Ltd." NA 2014-01-01 NA 2014-01-01 TRUE
"14" "7 or more Axle" 435 655 14575 220 " Bankapur ( Public Funded ) " 1 "Monthly Pass for Local non-commercial vehicles: Traffic  Rs.230/-" 2015-04-01 2016-03-31 " Bankapur ( Public Funded )  Km 352.550 - NH-4 in Karnataka  " " Gabbur - Devgiri  " 64 "s) " "( Public Funded ) " 3176900000 2008-03-03 884500000 2015-02-28 2012-07-16 "Sr No. - SO-1592" NA "Shri Rajesh / 9901793636" "MEP Infrastructure Developers Ltd." NA 2014-01-01 NA 2014-01-01 TRUE
"15" "Car/Jeep/Van" 80 120 2645 NA " Hirebagewadi ( BOT ) " 1 "Monthly pass applicable for local non-commercial vehicles : Rs.230/-" 2015-04-01 2016-03-31 " Hirebagewadi ( BOT )  Km 482.600 - NH-4 in Karnataka  " " Belgaum - Dharwad  " 79.36 "s) " "( BOT ) " 9966000000 2011-05-04 1453900000 2013-12-17 2011-04-05 "Sr No. - SO 715" NA "Mr. T. George / 8970999401" "Ashoka Belgaum Dharwad Tollway Ltd." NA 2014-01-01 NA 2014-01-01 FALSE
"16" "LCV" 130 190 4275 NA " Hirebagewadi ( BOT ) " 1 "Monthly pass applicable for local non-commercial vehicles : Rs.230/-" 2015-04-01 2016-03-31 " Hirebagewadi ( BOT )  Km 482.600 - NH-4 in Karnataka  " " Belgaum - Dharwad  " 79.36 "s) " "( BOT ) " 9966000000 2011-05-04 1453900000 2013-12-17 2011-04-05 "Sr No. - SO 715" NA "Mr. T. George / 8970999401" "Ashoka Belgaum Dharwad Tollway Ltd." NA 2014-01-01 NA 2014-01-01 FALSE
"17" "Bus/Truck" 270 405 8960 NA " Hirebagewadi ( BOT ) " 1 "Monthly pass applicable for local non-commercial vehicles : Rs.230/-" 2015-04-01 2016-03-31 " Hirebagewadi ( BOT )  Km 482.600 - NH-4 in Karnataka  " " Belgaum - Dharwad  " 79.36 "s) " "( BOT ) " 9966000000 2011-05-04 1453900000 2013-12-17 2011-04-05 "Sr No. - SO 715" NA "Mr. T. George / 8970999401" "Ashoka Belgaum Dharwad Tollway Ltd." NA 2014-01-01 NA 2014-01-01 FALSE
"18" "Upto 3 Axle Vehicle" 420 630 14050 NA " Hirebagewadi ( BOT ) " 1 "Monthly pass applicable for local non-commercial vehicles : Rs.230/-" 2015-04-01 2016-03-31 " Hirebagewadi ( BOT )  Km 482.600 - NH-4 in Karnataka  " " Belgaum - Dharwad  " 79.36 "s) " "( BOT ) " 9966000000 2011-05-04 1453900000 2013-12-17 2011-04-05 "Sr No. - SO 715" NA "Mr. T. George / 8970999401" "Ashoka Belgaum Dharwad Tollway Ltd." NA 2014-01-01 NA 2014-01-01 FALSE
"19" "4 to 6 Axle" 420 630 14050 NA " Hirebagewadi ( BOT ) " 1 "Monthly pass applicable for local non-commercial vehicles : Rs.230/-" 2015-04-01 2016-03-31 " Hirebagewadi ( BOT )  Km 482.600 - NH-4 in Karnataka  " " Belgaum - Dharwad  " 79.36 "s) " "( BOT ) " 9966000000 2011-05-04 1453900000 2013-12-17 2011-04-05 "Sr No. - SO 715" NA "Mr. T. George / 8970999401" "Ashoka Belgaum Dharwad Tollway Ltd." NA 2014-01-01 NA 2014-01-01 FALSE
"20" "HCM/EME" 420 630 14050 NA " Hirebagewadi ( BOT ) " 1 "Monthly pass applicable for local non-commercial vehicles : Rs.230/-" 2015-04-01 2016-03-31 " Hirebagewadi ( BOT )  Km 482.600 - NH-4 in Karnataka  " " Belgaum - Dharwad  " 79.36 "s) " "( BOT ) " 9966000000 2011-05-04 1453900000 2013-12-17 2011-04-05 "Sr No. - SO 715" NA "Mr. T. George / 8970999401" "Ashoka Belgaum Dharwad Tollway Ltd." NA 2014-01-01 NA 2014-01-01 FALSE
"21" "7 or more Axle" 515 770 17105 NA " Hirebagewadi ( BOT ) " 1 "Monthly pass applicable for local non-commercial vehicles : Rs.230/-" 2015-04-01 2016-03-31 " Hirebagewadi ( BOT )  Km 482.600 - NH-4 in Karnataka  " " Belgaum - Dharwad  " 79.36 "s) " "( BOT ) " 9966000000 2011-05-04 1453900000 2013-12-17 2011-04-05 "Sr No. - SO 715" NA "Mr. T. George / 8970999401" "Ashoka Belgaum Dharwad Tollway Ltd." NA 2014-01-01 NA 2014-01-01 FALSE
